Series Name,Series Code,Country Name,Country Code,1990 [YR1990],2000 [YR2000],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019],2020 [YR2020],2021 [YR2021],2022 [YR2022],2023 [YR2023],2024 [YR2024],2025 [YR2025]
"Population, total",SP.POP.TOTL,Peru,PER,22014771,26598331,30866494,31324637,31897584,32449303,32838579,33155882,33475438,33845617,34217848,..
"Population, total",SP.POP.TOTL,Philippines,PHL,62854666,79625397,106735719,108119693,109465287,110804683,112081264,113100950,113964338,114891199,115843670,..
"Population, total",SP.POP.TOTL,Poland,POL,38110782,38258629,37970087,37974826,37974750,37965475,37515748,36981559,36821749,36687353,36559233,..
"Population, total",SP.POP.TOTL,Portugal,PRT,9983218,10289898,10325452,10300300,10283822,10286263,10297081,10361831,10434332,10578174,10694681,..
"Population, total",SP.POP.TOTL,Puerto Rico (US),PRI,3537000,3810605,3480432,3410837,3290690,3302691,3281590,3262711,3220137,3203792,3203295,..
"Population, total",SP.POP.TOTL,Qatar,QAT,440175,644989,2477113,2545820,2580734,2638657,2794148,2504910,2657333,2656032,2857822,..
"Population, total",SP.POP.TOTL,Romania,ROU,23201835,22442971,19702267,19588715,19473970,19371648,19265250,19122059,19048502,19061062,19051804,..
"Population, total",SP.POP.TOTL,Russian Federation,RUS,147969406,146596869,145015460,145293260,145398106,145453291,145245148,144746762,144236933,143826130,143533851,..
"Population, total",SP.POP.TOTL,Rwanda,RWA,7375307,8213931,11919183,12202060,12487996,12776103,13065837,13355260,13651030,13954471,14256567,..
"Population, total",SP.POP.TOTL,Samoa,WSM,169042,181685,203499,205415,207582,209780,211944,213779,215261,216663,218019,..
"Population, total",SP.POP.TOTL,San Marino,SMR,23475,26799,33101,33825,34522,34663,34770,34252,33755,33860,33977,..
"Population, total",SP.POP.TOTL,Sao Tome and Principe,STP,122980,144018,203689,206970,210187,213392,217435,221961,226305,230871,235536,..
"Population, total",SP.POP.TOTL,Saudi Arabia,SAU,10640691,16177722,30954198,30977355,30196281,30063799,31552510,30784383,32175224,33702731,35300280,..
"Population, total",SP.POP.TOTL,Senegal,SEN,7720523,9968260,15034521,15475002,15914498,16352922,16789219,17220867,17651103,18077573,18501984,..
"Population, total",SP.POP.TOTL,Serbia,SRB,7897937,7516346,7058322,7020858,6982604,6945235,6899126,6834326,6664449,6623183,6586476,..
"Population, total",SP.POP.TOTL,Seychelles,SYC,69507,81131,94677,95843,96762,97625,98462,99258,119878,119773,121354,..
"Population, total",SP.POP.TOTL,Sierra Leone,SLE,4196828,4423611,7205328,7379299,7554563,7731991,7912558,8094602,8276807,8460512,8642022,..
"Population, total",SP.POP.TOTL,Singapore,SGP,3047132,4027887,5607283,5612253,5638676,5703569,5685807,5453566,5637022,5917648,6036860,..
"Population, total",SP.POP.TOTL,Sint Maarten (Dutch part),SXM,28061,30773,38249,38996,39712,40385,41008,41571,42139,42749,43350,..
